date,capital,period_return,borrow_cost,benchmark_return,turnover,n_long,n_short,n_eligible,avg_sue_long,avg_sue_short
2024-04-10,1142078.050604169,-0.0225713134100761,0.0007936507936507937,0.005953568948357158,0.24719101123595508,89,89,445,2.2379639294524254,-0.9429652135756689
2024-05-08,1138834.2437730615,-0.00012149644113609945,0.0007936507936507934,0.03322071265965214,2.7191011235955056,85,85,426,1.3678305413182599,-0.8107471737679278
2024-06-06,1146405.900262546,0.007691860209262707,0.0007936507936507934,0.04106233760168868,1.0352941176470587,84,84,421,1.0593668142602009,-0.7611629366867889
2024-07-08,1129336.296111547,-0.01453771797253741,0.0007936507936507937,-0.07069491638815276,0.3571428571428573,83,83,416,1.0194846034215534,-0.8102965039960429
2024-08-05,1141819.653151036,0.013740734634379425,0.0007936507936507937,0.06491530720791876,2.6506024096385543,67,67,337,1.127182145270722,-1.0950963413721262
2024-09-03,1157346.3467297235,0.014943306963599304,0.0007936507936507937,0.032582095963212244,1.3253012048192767,83,83,416,1.1625698958020603,-1.1943947381330617
2024-10-01,1158045.2797407971,0.0008209554901190263,0.0007936507936507937,0.02286274808671345,0.2168674698795181,83,83,415,1.134779103732966,-1.1874959510883187
2024-10-29,1166462.4077103224,0.00987215956957022,0.0007936507936507935,0.0319374204187126,2.5783132530120483,46,46,233,1.4622945445349966,-1.280199601234106
2024-11-26,1167606.9886998124,0.003674646595133159,0.0007936507936507934,0.004508122385964206,2.6835443037974684,79,79,398,1.8625394309011856,-1.3397906345503
2024-12-26,1166749.027955519,-0.00035398515037082714,0.0007936507936507934,0.0052741392256728335,0.38095238095238093,84,84,420,1.8437358245497646,-1.291920099019419
2025-01-28,1163140.4764069987,-0.0018808239886125733,0.0007936507936507937,-0.01664683108515322,1.2142857142857144,64,64,322,1.8411621116888361,-1.2383412380102332
2025-02-26,1182969.8748171448,0.02044965322643754,0.0007936507936507937,-0.0416245476359661,3.333333333333334,75,75,376,1.973274316605157,-1.4248098347150588
2025-03-26,1171731.1152467118,-0.008531526247708077,0.0007936507936507939,-0.039277695093539684,0.9772727272727273,88,88,440,2.078612294443171,-1.4599159339914345
2025-04-24,1161419.2141470867,-0.008372366645167464,0.0007936507936507939,0.06445957656680029,0.43181818181818177,88,88,442,1.9972665845569453,-1.4936960608657701
2025-05-22,1168420.3182452647,0.008986223630550894,0.0007936507936507937,0.03178995243856539,2.9318181818181817,86,86,430,0.9619965893013208,-1.0232483965625645
2025-06-23,1191204.2438725578,0.020045374088880265,0.0007936507936507937,0.04672900212800935,0.5348837209302325,86,86,434,0.9416274341094402,-1.0108742084723463
2025-07-22,1182695.7038238405,-0.006334007451305844,0.0007936507936507939,0.017262615356494492,0.8139534883720931,77,77,388,1.0364525379837646,-1.0740597098311742
2025-08-19,1158810.0660919803,-0.017779892715581867,0.0007936507936507935,0.029825397231177306,2.459770114942529,87,87,438,1.3674074439389903,-0.908271754755541
2025-09-17,1155623.9544526918,-0.0022786335814449386,0.0007936507936507937,0.011814608596591784,0.4719101123595506,89,89,446,1.3826681575744602,-0.9565267745061006
2025-10-15,1179166.2911146334,0.02071603169668733,0.0007936507936507934,0.02700838631283159,0.33707865168539325,85,85,425,1.4415835252698272,-0.9104474019143647
2025-11-12,1155916.2307950763,-0.01723221199811742,0.0007936507936507935,0.008436877459460885,2.528735632183908,87,87,437,1.4989704239544004,-1.830590697368638
2025-12-11,1153863.0129026878,-0.0014812518592600267,0.0007936507936507939,0.011604620159798292,0.2954545454545454,88,88,441,1.5089037705243378,-1.8340552900389453
2026-01-12,1140950.5556951668,-0.010990608366801317,0.0007936507936507937,-0.004382710020376872,0.20224719101123606,89,89,445,1.4814909700208403,-1.8365484522149917
2026-02-10,1150726.036554545,0.012024642440653988,0.0007936507936507937,-0.023078160607539172,3.4157303370786516,32,32,164,1.7409273236526137,-1.4644606769374446
2026-03-11,1124391.2883049361,-0.019551808899362352,0.0007936507936507937,0.008006547910210965,3.4000000000000004,90,90,451,2.460985073868764,-1.7422592849537042
2026-04-09,1115645.252512399,-0.0074582880398101105,0.0007936507936507939,0.07324620518942494,0.32258064516129026,93,93,466,2.448089240607289,-1.775738783778988
2026-05-07,1108091.6938921902,-0.004565633252407573,0.0007936507936507937,0.00812726381486063,2.21505376344086,90,90,450,1.6347695666798046,-1.107486185359764
2026-06-05,1112096.3555704278,0.004842156925750831,0.0002380952380952381,0.005678393195658263,1.2222222222222223,90,90,451,1.2441455675730662,-0.8640140507328391
